id,name_ko,name_en,side,faction,role,weapon,base,sheet,file
aragorn,아라곤,Aragorn,good,gondor,hero,sword,L,lotr-tokens-v1.png,tokens/aragorn.png
gandalf,간달프,Gandalf the Grey,good,maiar,hero,staff,L,lotr-tokens-v1.png,tokens/gandalf.png
warrior_minas_tirith,미나스 티리스 전사,Warrior of Minas Tirith,good,gondor,infantry,sword_shield,M,lotr-tokens-v1.png,tokens/warrior_minas_tirith.png
witchking_foot,마술왕(도보),Witch-king on foot,evil,angmar,hero,sword,L,lotr-tokens-v1.png,tokens/witchking_foot.png
orc_sword,모르도르 오크(검),"Mordor Orc, sword",evil,mordor,infantry,sword,S,lotr-tokens-v1.png,tokens/orc_sword.png
cave_troll,동굴 트롤,Cave Troll,evil,moria,monster,club,XXL,lotr-tokens-v1.png,tokens/cave_troll.png
glorfindel_foot,글로르핀델(도보),Glorfindel on foot,good,rivendell,hero,sword,L,glorfindel-topdown-v2.png,tokens/glorfindel_foot.png
glorfindel_mounted,글로르핀델(기마),Glorfindel mounted,good,rivendell,cavalry,sword,XL,glorfindel-topdown-v2.png,tokens/glorfindel_mounted.png
witchking_fellbeast,마술왕(펠비스트),Witch-king on Fell Beast,evil,angmar,monster,sword,XXL,fellbeast-topdown-v2.png,tokens/witchking_fellbeast.png
witchking_mounted,마술왕(기마),Witch-king mounted,evil,angmar,cavalry,sword,XL,witchking-mounted-topdown-v1.png,tokens/witchking_mounted.png
witchking_mounted_sheet,마술왕(기마·예비),Witch-king mounted (alt),evil,angmar,cavalry,sword,XL,roster-enemy-heroes-v1.png,tokens/witchking_mounted_sheet.png
witchking_foot_mace,마술왕(철퇴),Witch-king with mace,evil,angmar,hero,mace,L,roster-enemy-heroes-v1.png,tokens/witchking_foot_mace.png
nazgul_sword,나즈굴(검),"Nazgul, sword",evil,angmar,hero,sword,L,roster-enemy-heroes-v1.png,tokens/nazgul_sword.png
saruman,사루만,Saruman the White,evil,isengard,hero,staff,L,roster-enemy-heroes-v1.png,tokens/saruman.png
orc_shaman,오크 주술사,Orc Shaman,evil,moria,support,staff,S,roster-enemy-heroes-v1.png,tokens/orc_shaman.png
orc_captain,오크 대장,Orc Captain,evil,mordor,hero,sword,M,roster-enemy-heroes-v1.png,tokens/orc_captain.png
orc_spearman,오크 창병,Orc Spearman,evil,mordor,infantry,spear,S,roster-enemy-troops-v1.png,tokens/orc_spearman.png
orc_archer,오크 궁수,Orc Archer,evil,mordor,infantry,bow,S,roster-enemy-troops-v1.png,tokens/orc_archer.png
uruk_swordshield,우르크하이 검방,"Uruk-hai, sword & shield",evil,isengard,infantry,sword_shield,M,roster-enemy-troops-v1.png,tokens/uruk_swordshield.png
morannon_orc,모라논 오크,Morannon Orc,evil,mordor,infantry,spear_shield,M,roster-enemy-troops-v1.png,tokens/morannon_orc.png
warg_rider,와르그 기병,Warg Rider,evil,mordor,cavalry,spear,XL,roster-enemy-troops-v1.png,tokens/warg_rider.png
haradrim_spearman,하라드림 창병,Haradrim Spearman,evil,harad,infantry,spear,M,roster-enemy-troops-v1.png,tokens/haradrim_spearman.png
legolas,레골라스,Legolas,good,elf,hero,bow,M,roster-free-heroes-v1.png,tokens/legolas.png
gimli,김리,Gimli,good,dwarf,hero,axe,M,roster-free-heroes-v1.png,tokens/gimli.png
boromir,보로미르,Boromir,good,gondor,hero,sword_shield,L,roster-free-heroes-v1.png,tokens/boromir.png
eowyn,에오윈,Eowyn,good,rohan,hero,sword,M,roster-free-heroes-v1.png,tokens/eowyn.png
frodo,프로도,Frodo,good,shire,hero,dagger,S,roster-free-heroes-v1.png,tokens/frodo.png
elrond,엘론드,Elrond,good,rivendell,hero,sword,L,roster-free-heroes-v1.png,tokens/elrond.png
gondor_archer,곤도르 궁수,Gondor Archer,good,gondor,infantry,bow,M,roster-free-troops-v1.png,tokens/gondor_archer.png
elf_swordsman,엘프 검사,Elf Swordsman,good,elf,infantry,sword,M,roster-free-troops-v1.png,tokens/elf_swordsman.png
dwarf_guardian,드워프 가디언,Dwarf Guardian,good,dwarf,infantry,axe,M,roster-free-troops-v1.png,tokens/dwarf_guardian.png
rohan_royal_guard,로한 근위병,Rohan Royal Guard,good,rohan,infantry,spear_shield,M,roster-free-troops-v1.png,tokens/rohan_royal_guard.png
ithilien_ranger,이틸리엔 레인저,Ithilien Ranger,good,gondor,infantry,bow,M,roster-free-troops-v1.png,tokens/ithilien_ranger.png
rohan_rider,로한 기병,Rider of Rohan,good,rohan,cavalry,spear,XL,roster-free-troops-v1.png,tokens/rohan_rider.png
balrog,발록,Balrog of Moria,evil,moria,monster,various,XXL,roster-monsters-v1.png,tokens/balrog.png
mountain_troll,산악 트롤,Mountain Troll,evil,mordor,monster,club,XXL,roster-monsters-v1.png,tokens/mountain_troll.png
shelob,셀로브,Shelob,evil,mordor,monster,various,XXL,roster-monsters-v1.png,tokens/shelob.png
